                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7381,                 5.8197,                 2.6033,                0.08386,                    0.2,                0.08464,                0.01707,                 3.5551,                 5.7169,                 3.5658,                      0,                      0,                      0
                      2,                 2.9477,                 5.2029,                 2.7163,                0.17438,                0.01667,                0.00101,                0.00051,                 3.4806,                  5.343,                 3.3131,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.7017,                 5.3165,                 2.6022,                0.16885,                0.03333,                0.00116,                0.00028,                 3.3839,                 5.4397,                 3.1738,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 3.1448,                  5.642,                 2.6738,                0.16845,                0.03333,                0.00102,                0.00031,                 3.1514,                 5.3782,                 3.0333,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.9579,                 5.2655,                 2.7591,                0.00046,                   0.05,                 0.0016,                 0.0006,                 3.1957,                 5.5606,                 2.9842,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.5652,                 5.8238,                 2.5447,                0.00192,                   0.05,                0.00185,                0.00044,                 3.0952,                 5.3775,                 3.0027,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.7354,                  5.206,                 2.7304,                0.00046,                0.03333,                0.00098,                 0.0003,                 3.0384,                 5.3767,                 2.8992,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.6629,                 5.2416,                 2.6889,                0.00029,                0.03333,                0.00147,                0.00041,                 2.9998,                 5.2451,                 2.8268,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.5792,                 5.1316,                 2.5085,                0.00014,                0.01667,                0.00038,                  4e-05,                 3.0411,                 5.1619,                 2.8793,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 2.8463,                 5.3869,                 2.7941,                0.01263,                0.01667,                 0.0159,                 0.0016,                 3.2059,                  4.932,                 2.9837,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.6351,                 5.3844,                 2.6456,                0.00644,                0.01667,                0.00534,                 0.0016,                 3.1849,                   5.05,                 2.9172,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                  2.981,                 6.2992,                 3.0178,                0.00034,                0.03333,                0.00345,                0.00037,                 3.3187,                 4.9656,                 2.9478,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.7352,                 5.3812,                 2.7745,                 0.0014,                   0.05,                0.00388,                0.00064,                 3.3198,                 4.8863,                 2.9421,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.8397,                 5.3316,                 2.6132,                 0.0021,                0.03333,                0.00509,                0.00093,                 3.2289,                  4.729,                 2.9411,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 3.0555,                 5.3851,                 2.9553,                0.00375,                0.03333,                0.00504,                0.00101,                 3.2397,                 4.6398,                 2.9927,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 2.7232,                 5.2572,                 2.7108,                0.00496,                0.01667,                0.00637,                0.00106,                 3.2148,                 4.7095,                 2.9803,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 2.8565,                 5.5677,                 2.7647,                0.02735,                0.01667,                0.00896,                0.00204,                 3.1141,                 4.6662,                 2.9747,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 2.7308,                 5.1908,                 2.8478,                0.02735,                0.01667,                0.00896,                0.00204,                 3.1141,                 4.6662,                 2.9747,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 2.4402,                 5.6215,                 2.5856,                 0.0016,                0.03333,                0.00571,                0.00273,                 2.9535,                 4.5724,                 2.9412,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 2.8143,                  5.251,                 2.7554,                 0.0016,                0.03333,                0.00571,                0.00273,                 2.9535,                 4.5724,                 2.9412,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 3.5442,                 7.5063,                 3.2314,                0.00288,                0.01667,                0.00825,                0.00482,                 2.8414,                 4.5832,                 2.9265,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.2433,                   5.48,                 2.3443,                0.00288,                0.01667,                0.00825,                0.00482,                 2.8414,                 4.5832,                 2.9265,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                  2.659,                 5.2812,                 2.7513,                0.00014,                0.01667,                0.00534,                 0.0032,                 2.7458,                  4.579,                 2.8917,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 2.6315,                 5.0516,                 2.6316,                0.00014,                0.01667,                0.00534,                 0.0032,                 2.7458,                  4.579,                 2.8917,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 3.1277,                 5.4705,                 2.8876,                0.00014,                0.01667,                0.00534,                0.00254,                 2.7658,                 4.5038,                 2.8815,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 2.3704,                 5.4244,                 2.5539,                0.00014,                0.01667,                0.00534,                0.00254,                 2.7658,                 4.5038,                 2.8815,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 2.5487,                 5.2175,                 2.5492,                0.00028,                0.03333,                0.00545,                0.00322,                 2.8234,                 4.5173,                 2.8894,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 2.6672,                 5.3346,                  2.858,                0.00028,                0.03333,                0.00545,                0.00322,                 2.8234,                 4.5173,                 2.8894,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 2.7727,                 6.4274,                 2.7941,                0.00028,                0.03333,                0.00334,                0.00163,                 2.8545,                  4.493,                 2.9047,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 2.3347,                  5.176,                 2.4267,                0.00028,                0.03333,                0.00334,                0.00163,                 2.8545,                  4.493,                 2.9047,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 2.4544,                   5.71,                 2.6109,                0.00028,                0.03333,                0.00337,                0.00195,                 2.8746,                 4.4894,                 2.9225,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.3213,                 5.1049,                 2.3278,                0.00028,                0.03333,                0.00337,                0.00195,                 2.8746,                 4.4894,                 2.9225,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.6005,                 5.3264,                 2.6289,                0.00028,                0.03333,                0.00415,                0.00243,                 2.8633,                 4.5042,                  2.911,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 2.7264,                 5.4239,                 2.6212,                0.00028,                0.03333,                0.00415,                0.00243,                 2.8633,                 4.5042,                  2.911,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                  2.473,                 5.1071,                 2.5561,                0.00028,                0.03333,                0.00547,                0.00322,                 2.8597,                 4.5247,                 2.8961,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.6555,                 6.4601,                 2.5793,                0.00028,                0.03333,                0.00547,                0.00322,                 2.8597,                 4.5247,                 2.8961,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.1839,                 5.2981,                 2.3207,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8563,                 4.5238,                 2.8849,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.5717,                 5.3284,                 2.5709,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8563,                 4.5238,                 2.8849,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                  3.069,                 5.5385,                 2.8596,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8248,                 4.4781,                 2.8892,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.6018,                 5.3773,                  2.505,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8248,                 4.4781,                 2.8892,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.5025,                 5.0126,                 2.4815,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8247,                 4.4315,                 2.8926,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 2.7855,                 5.4735,                 2.6174,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8247,                 4.4315,                 2.8926,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.8715,                 5.5387,                 2.5016,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8323,                 4.4154,                 2.8908,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.8176,                 5.1724,                  2.767,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8323,                 4.4154,                 2.8908,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.5546,                 5.2567,                 2.6344,                0.00028,                0.03333,                0.00416,                0.00244,                 2.8408,                 4.4239,                 2.8828,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.5277,                 5.1119,                 2.5672,                0.00028,                0.03333,                0.00416,                0.00244,                 2.8408,                 4.4239,                 2.8828,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.5644,                 5.0411,                 2.5336,                0.00028,                0.03333,                0.00336,                0.00143,                 2.8492,                 4.4599,                 2.8679,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.8157,                  5.484,                 2.7992,                0.00028,                0.03333,                0.00336,                0.00143,                 2.8492,                 4.4599,                 2.8679,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.3881,                 5.2638,                  2.597,                0.00028,                0.03333,                0.00282,                0.00122,                 2.8589,                 4.5032,                 2.8566,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.4082,                 5.1517,                 2.4807,                0.00028,                0.03333,                0.00282,                0.00122,                 2.8589,                 4.5032,                 2.8566,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.4509,                 5.1317,                  2.435,                0.00028,                0.03333,                0.00338,                0.00153,                 2.8421,                  4.508,                 2.8585,             3.0048e-05,             3.0048e-05,             3.0048e-05
